,sem_loss
0,0.0009007
1,0.000585
2,0.000698
3,0.0010395
4,0.001136
5,0.000701
6,0.000716
7,0.000612
8,0.0006475
9,0.0008
10,0.0007586
11,0.000537
12,0.00061
13,0.0007153
14,0.000565
15,0.0009065
16,0.0006332
17,0.0006647
18,0.000906
19,0.000637
20,0.001086
21,0.0006647
22,0.00083
23,0.0008416
24,0.0005255
25,0.0008316
26,0.0008063
27,0.0007057
28,0.0004811
29,0.0006957
30,0.000689
31,0.000814
32,0.0008907
33,0.000536
34,0.0007377
35,0.0008893
36,0.0008235
37,0.0006843
38,0.0008492
39,0.000655
40,0.0006557
41,0.000689
42,0.00096
43,0.000748
44,0.0005584
45,0.0009723
46,0.0006447
47,0.000834
48,0.0007997
49,0.000673
50,0.0009694
51,0.0006537
52,0.0006404
53,0.00065
54,0.00091
55,0.0005016
56,0.0007358
57,0.0007334
58,0.000749
59,0.000686
60,0.000696
61,0.000618
62,0.000879
63,0.001094
64,0.000662
65,0.000792
66,0.001227
67,0.00131
68,0.0007515
69,0.001125
70,0.001337
71,0.0006633
72,0.0004044
73,0.0005517
74,0.0007854
75,0.0006747
76,0.001068
77,0.000646
78,0.000699
79,0.0009074
80,0.000881
81,0.0006633
82,0.000588
83,0.000524
84,0.0008
85,0.0007887
86,0.0008254
87,0.000651
88,0.0007176
89,0.001019
90,0.0008297
91,0.000922
92,0.001256
93,0.0008287
94,0.0008974
95,0.0008693
96,0.0006833
97,0.000581
98,0.0009017
99,0.0008535
