Image Index,Perceptual Loss
1,0.6868218183517456
2,0.6616320610046387
3,0.56777423620224
4,0.4464832544326782
5,0.5994623899459839
6,0.7143458724021912
7,0.6429217457771301
8,0.5406922101974487
9,0.681043803691864
10,0.6496416330337524
11,0.68532395362854
12,0.6506861448287964
13,0.5087013244628906
14,0.5593131184577942
15,0.5780014991760254
16,0.6622253656387329
17,0.5350271463394165
18,0.5415294766426086
19,0.5346110463142395
20,0.6096300482749939
21,0.6801795959472656
22,0.6778119802474976
23,0.54940265417099
24,0.6367893218994141
25,0.6277428865432739
26,0.8072954416275024
27,0.6896336674690247
28,0.6761379241943359
29,0.659163773059845
30,0.6150890588760376
31,0.39443832635879517
32,0.5123727321624756
33,0.6487917304039001
34,0.5863468647003174
35,0.5621035695075989
36,0.6367055177688599
37,0.601917564868927
38,0.629870593547821
39,0.6331508159637451
40,0.7297828197479248
41,0.5919737815856934
42,0.5323892831802368
43,0.6831774711608887
44,0.5460689663887024
45,0.6090128421783447
46,0.6256400942802429
47,0.5578839778900146
48,0.831924319267273
49,0.5868735909461975
50,0.6515020728111267
51,0.5951520204544067
52,0.714198112487793
53,0.6917955279350281
54,0.6440111398696899
55,0.735558271408081
56,0.5345795750617981
57,0.6490541100502014
58,0.5852692127227783
59,0.5506210327148438
60,0.6817232966423035
61,0.40739038586616516
62,0.6441251039505005
63,0.6776602268218994
64,0.6399745941162109
65,0.7464659810066223
66,0.6171813011169434
67,0.6751430630683899
68,0.6489459276199341
69,0.49933844804763794
70,0.7517393231391907
71,0.6062390208244324
72,0.6456578969955444
73,0.7179204821586609
74,0.6631824374198914
75,0.6257905960083008
76,0.5616730451583862
77,0.5989054441452026
78,0.7624858021736145
79,0.5607024431228638
80,0.6530317068099976
81,0.5815772414207458
82,0.8698937892913818
83,0.5597940683364868
84,0.7572976350784302
85,0.6979910135269165
86,0.5242881178855896
87,0.625525176525116
88,0.604068398475647
89,0.6294467449188232
90,0.5982797145843506
91,0.6004351377487183
92,0.7195453643798828
93,0.5473133325576782
94,0.7150633931159973
95,0.6150050163269043
96,0.6670023798942566
97,0.6330938339233398
98,0.7053554058074951
99,0.6251851320266724
100,0.6491772532463074
101,0.7581472396850586
102,0.6941744685173035
103,0.6043354272842407
104,0.6238629817962646
105,0.6624614596366882
106,0.6320348381996155
107,0.5951241254806519
108,0.7998923659324646
109,0.6174370050430298
110,0.7052596807479858
111,0.5813590288162231
112,0.615623950958252
113,0.7077199220657349
114,0.6185418367385864
115,0.5887700319290161
116,0.6624555587768555
117,0.6506297588348389
118,0.6445574760437012
119,0.5874263048171997
120,0.6558569073677063
121,0.6457654237747192
122,0.5767161250114441
123,0.7223008275032043
124,0.6377378702163696
125,0.6707298755645752
126,0.569359302520752
127,0.7233332395553589
128,0.7499184608459473
129,0.630855143070221
130,0.6083743572235107
131,0.6030101180076599
132,0.6500930786132812
133,0.5787580013275146
134,0.6341590881347656
135,0.6128807067871094
136,0.6628365516662598
137,0.7721470594406128
138,0.6254007816314697
139,0.4866510033607483
140,0.6172345876693726
141,0.6054677963256836
142,0.6233422756195068
143,0.6151648163795471
144,0.6720669865608215
145,0.5487403869628906
146,0.6866628527641296
147,0.6793703436851501
148,0.6681302785873413
149,0.5773282051086426
150,0.6505773663520813
151,0.5812912583351135
152,0.4683016836643219
153,0.7126175165176392
154,0.6775410771369934
155,0.6600900292396545
156,0.6161465644836426
157,0.6344063878059387
158,0.6045916080474854
159,0.6105945110321045
160,0.7064448595046997
161,0.5788441300392151
162,0.5974419116973877
163,0.7011970281600952
164,0.6190443634986877
165,0.6845077872276306
166,0.6448971033096313
167,0.6147294640541077
168,0.6859616637229919
169,0.6976062059402466
170,0.6357488036155701
171,0.6868579387664795
172,0.6330112218856812
173,0.6557580232620239
174,0.5967534780502319
175,0.6509903073310852
176,0.6071656942367554
177,0.7894602417945862
178,0.5500180721282959
179,0.6250770092010498
180,0.49450379610061646
181,0.5712894797325134
182,0.6074384450912476
183,0.4808952808380127
184,0.6247935891151428
185,0.5914928913116455
186,0.6651605367660522
187,0.6136000752449036
188,0.6160680651664734
189,0.6442499160766602
190,0.5742205381393433
191,0.649695873260498
192,0.5909693241119385
193,0.587166428565979
194,0.6179033517837524
195,0.5530774593353271
196,0.5950155854225159
197,0.5947231650352478
198,0.6322280168533325
199,0.6231655478477478
200,0.6103634834289551
