,per_loss
0,0.6792827
1,0.6742951
2,0.67934406
3,0.8098807
4,0.78661484
5,0.765482
6,0.65946984
7,0.6889852
8,0.5573878
9,0.684137
10,0.68390155
11,0.45282808
12,0.6587696
13,0.6978129
14,0.5714598
15,0.69877785
16,0.57111275
17,0.72463256
18,0.6398026
19,0.59286183
20,0.6129849
21,0.5521214
22,0.643441
23,0.5772091
24,0.749188
25,0.62736124
26,0.7878357
27,0.7524923
28,0.82795984
29,0.5415866
30,0.66135424
31,0.6259437
32,0.6121043
33,0.60218966
34,0.6469516
35,0.6884357
36,0.7685705
37,0.6024782
38,0.68703365
39,0.7870122
40,0.68358696
41,0.6577792
42,0.71963716
43,0.59966654
44,0.6313162
45,0.6217723
46,0.64255285
47,0.6558707
48,0.7917048
49,0.6125196
50,0.63603395
51,0.6378516
52,0.62244445
53,0.6826128
54,0.55464166
55,0.6695164
56,0.7221528
57,0.68397933
58,0.6768197
59,0.6985061
60,0.6643392
61,0.637269
62,0.6431894
63,0.5678817
64,0.6770016
65,0.6046246
66,0.8028209
67,0.6186946
68,0.66009545
69,0.6724775
70,0.7683408
71,0.670419
72,0.62858367
73,0.604249
74,0.57614905
75,0.6167528
76,0.63162327
77,0.63174194
78,0.6614181
79,0.64393264
80,0.49768594
81,0.7559627
82,0.72063696
83,0.63419914
84,0.646165
85,0.7324984
86,0.74575084
87,0.65588665
88,0.6406369
89,0.5329642
90,0.6247239
91,0.8184535
92,0.78932846
93,0.5979438
94,0.7862246
95,0.6218253
96,0.60176444
97,0.627235
98,0.6538625
99,0.6119825
