Image Index,Score
1,1.0239246092224121
2,0.890229981803894
3,0.8266672305297851
4,0.8347607687950134
5,0.8902504994392395
6,1.1313465796661377
7,1.0287048986434937
8,0.8702474939346314
9,1.0284079270362854
10,0.8927363618087769
11,0.7843228902816772
12,1.0833344902038573
13,0.8064535227775573
14,0.8855652766418457
15,0.8206354304504395
16,1.0020341124916077
17,0.8618579916954041
18,0.7375675928878784
19,0.9300491223144531
20,0.9190003025817871
21,1.085110701084137
22,1.0639177766609191
23,0.9054253897857667
24,0.9288585386276245
25,1.0241498460769654
26,1.1304079787254333
27,1.0902526808166504
28,0.9872235975265503
29,0.8711710779190064
30,0.9980776903152466
31,0.695531838130951
32,0.6066369838523864
33,1.115878306159973
34,0.7301984659004211
35,0.8589442028045655
36,0.9401429116249085
37,1.1219000072479248
38,1.0257330726623535
39,0.9692602944374085
40,1.0205857404708862
41,1.1157952882957458
42,0.8563034411430359
43,1.1137636219787597
44,0.8287517852973938
45,0.9120705508995056
46,0.9780344217300415
47,1.0422994826316834
48,1.0604401074409484
49,0.8787719842910766
50,1.1230089384460449
51,0.8321418020248412
52,1.1862555964279176
53,0.9747834892463685
54,1.030209884929657
55,1.0280375131607056
56,0.9797447799873351
57,0.8459822736549377
58,1.0418343138694763
59,1.3097564584732058
60,0.9315432072257996
61,0.696424482755661
62,1.0956834180641175
63,1.083442177886963
64,0.9744196491241455
65,1.0446649927330016
66,0.9339103472709656
67,1.0302298113822936
68,0.922129911994934
69,1.0934558407783508
70,1.0342232671928406
71,0.924826921081543
72,1.0983071462631226
73,1.0412156545639037
74,0.9641445033073426
75,0.9916623596763611
76,0.9298520325088502
77,0.9399990287208557
78,1.2063413981819153
79,0.8528740763854981
80,0.952556210231781
81,0.8147906541252137
82,1.1912625492286681
83,0.9193284605026245
84,1.0586849098205566
85,1.2536312502861024
86,0.875864113254547
87,0.9287117636680604
88,0.9562154342842102
89,0.9356646984100342
90,0.8742583531570434
91,0.7951619819641114
92,1.0130616876602172
93,0.9779093031692505
94,0.9789206217765808
95,1.0029781807136535
96,1.0118654843330384
97,1.09612451877594
98,1.142658566570282
99,1.065971528377533
100,1.1420887910842894
101,0.9806597385978699
102,1.0057251383399963
103,1.054260124320984
104,1.0788596152496337
105,0.8387610466194153
106,0.9847026621055603
107,1.0126841524124146
108,1.0696084968566895
109,0.9744324661636352
110,1.0353651573181153
111,0.9456079144477845
112,0.9210750256538391
113,1.2976493244171143
114,0.8423771330070495
115,1.1235706068992615
116,0.8220917971038818
117,0.9652169286727905
118,0.9899268989562988
119,0.924450984954834
120,1.1389145959854126
121,0.9524116939735412
122,1.0522630757713318
123,1.1977487295150757
124,0.9601473039817809
125,1.096465152645111
126,0.9434950408363342
127,1.0936436206817626
128,1.1967526735305787
129,0.9770596870613097
130,1.0774477752685547
131,1.0862472029685974
132,1.015543353919983
133,1.0095263582229614
134,0.8650143990898133
135,1.0915715305328368
136,0.948526220703125
137,1.1599588314056397
138,1.1281280796051025
139,0.7306070601940156
140,1.0530643006324767
141,0.8757889151573182
142,0.9493734706878663
143,1.048875573272705
144,0.9277782088279725
145,1.1175625931739808
146,0.9903243804168702
147,1.0833844583511352
148,0.878845803604126
149,0.8564984192085265
150,1.0184484539985657
151,0.8665385220718385
152,0.6933218530368805
153,1.0614224875450133
154,1.2686313388824462
155,0.9381487636756897
156,1.1827729639053346
157,0.9730649054718017
158,0.8173876445770263
159,0.960955113697052
160,0.943782805557251
161,1.102113549156189
162,1.0647052985191345
163,0.9043523889541626
164,0.9632194358825683
165,1.1158010136604308
166,0.9294518262863158
167,1.1177585680007935
168,1.0182335334014891
169,1.1522726701545716
170,0.8945710840797424
171,0.6428912462997436
172,1.0223842801856995
173,1.0456074599075318
174,0.8975812091064453
175,1.041044988708496
176,0.8462653571510315
177,1.1209421124458312
178,0.8790577046966552
179,0.8816455031776428
180,0.7612829921340942
181,0.9307110396575928
182,0.9555725931167602
183,0.8146920384407044
184,0.9248937050056458
185,0.9114936317443847
186,1.0272046947860718
187,0.8888809844589234
188,1.0010074800872804
189,1.1425172355651856
190,0.9175319845199585
191,0.9968590263366699
192,1.001923116874695
193,0.852480496006012
194,0.8533814139556885
195,0.8763375732421874
196,0.9629553326797485
197,1.1183738487243653
198,0.9228913867950439
199,0.9181692490577698
200,1.172892693901062
