Image Index,Perceptual Loss
1,0.6872845888137817
2,0.6682310104370117
3,0.5690168142318726
4,0.4486202001571655
5,0.6032107472419739
6,0.7162549495697021
7,0.6449055075645447
8,0.5461184978485107
9,0.6800175309181213
10,0.6543777585029602
11,0.6880511045455933
12,0.6481989622116089
13,0.5238404870033264
14,0.5664924383163452
15,0.5816148519515991
16,0.6645014882087708
17,0.5350528955459595
18,0.545982837677002
19,0.5374699831008911
20,0.6078478693962097
21,0.683320164680481
22,0.6769251227378845
23,0.5484210252761841
24,0.6390290260314941
25,0.6266660094261169
26,0.7994239330291748
27,0.6943445205688477
28,0.6820479035377502
29,0.6794220805168152
30,0.6111313700675964
31,0.39882004261016846
32,0.5065599083900452
33,0.6491584777832031
34,0.5885810256004333
35,0.5531947016716003
36,0.6356580257415771
37,0.6046224236488342
38,0.6292590498924255
39,0.6361752152442932
40,0.7330307364463806
41,0.5938762426376343
42,0.5321458578109741
43,0.6867992281913757
44,0.5423096418380737
45,0.6133279204368591
46,0.626057505607605
47,0.5610621571540833
48,0.8343383073806763
49,0.5884180068969727
50,0.6508169174194336
51,0.5901708602905273
52,0.7190425992012024
53,0.6979345083236694
54,0.64711993932724
55,0.7393297553062439
56,0.5357910394668579
57,0.6496117115020752
58,0.5895746350288391
59,0.552323043346405
60,0.6815351247787476
61,0.4061032831668854
62,0.6458055973052979
63,0.6810020804405212
64,0.6396620273590088
65,0.7499545216560364
66,0.6148045063018799
67,0.6826235055923462
68,0.6515129804611206
69,0.5062815546989441
70,0.757803201675415
71,0.6077079772949219
72,0.6480376124382019
73,0.717738151550293
74,0.6685668230056763
75,0.6252646446228027
76,0.5716305375099182
77,0.6013288497924805
78,0.762393593788147
79,0.5608521699905396
80,0.6574717164039612
81,0.579046905040741
82,0.880632758140564
83,0.559179961681366
84,0.7628342509269714
85,0.7011656761169434
86,0.5213223099708557
87,0.6270456910133362
88,0.6004742980003357
89,0.6225298643112183
90,0.6006717085838318
91,0.6043182611465454
92,0.7226279377937317
93,0.54768306016922
94,0.7157727479934692
95,0.6174957752227783
96,0.6672329306602478
97,0.6337584853172302
98,0.7060474157333374
99,0.6232373118400574
100,0.6480839252471924
101,0.7671750783920288
102,0.6975630521774292
103,0.6099957227706909
104,0.623766303062439
105,0.6713297367095947
106,0.6377717852592468
107,0.6006878018379211
108,0.8092122077941895
109,0.6205021142959595
110,0.6818795800209045
111,0.5850093364715576
112,0.6257014274597168
113,0.7177752256393433
114,0.6147054433822632
115,0.5440018177032471
116,0.6636154651641846
117,0.6320359706878662
118,0.6935833692550659
119,0.5799662470817566
120,0.6965084671974182
121,0.6691429615020752
122,0.5768155455589294
123,0.7038353681564331
124,0.6162105798721313
125,0.6488482356071472
126,0.5822706818580627
127,0.6977138519287109
128,0.7439820170402527
129,0.633125364780426
130,0.6231348514556885
131,0.6509990692138672
132,0.637183666229248
133,0.5482134222984314
134,0.6639443039894104
135,0.6212456226348877
136,0.6561154127120972
137,0.7619234323501587
138,0.6268673539161682
139,0.47899821400642395
140,0.6296882629394531
141,0.5778335332870483
142,0.571323573589325
143,0.6249541640281677
144,0.6375424861907959
145,0.5198073387145996
146,0.7080338597297668
147,0.7026575803756714
148,0.6416863799095154
149,0.4566827416419983
150,0.6471165418624878
151,0.5568069815635681
152,0.5097990036010742
153,0.7058420181274414
154,0.7005158066749573
155,0.6561617851257324
156,0.6238929629325867
157,0.6248880624771118
158,0.6002017855644226
159,0.5909724831581116
160,0.7160977721214294
161,0.5642929673194885
162,0.585405707359314
163,0.697522759437561
164,0.6359269022941589
165,0.680971622467041
166,0.6805029511451721
167,0.5504753589630127
168,0.703821063041687
169,0.7034546136856079
170,0.628778874874115
171,0.6689735651016235
172,0.6351388692855835
173,0.6426504850387573
174,0.5681498646736145
175,0.6564291715621948
176,0.6116470098495483
177,0.7793833017349243
178,0.5714575052261353
179,0.6177595257759094
180,0.4939326047897339
181,0.5604327321052551
182,0.5974026918411255
183,0.49165087938308716
184,0.6473076939582825
185,0.5750157237052917
186,0.6617360711097717
187,0.6397926807403564
188,0.6376309990882874
189,0.6812941431999207
190,0.5462835431098938
191,0.6461107134819031
192,0.6284350156784058
193,0.5669918656349182
194,0.6159574389457703
195,0.5679663419723511
196,0.6082659959793091
197,0.6051121950149536
198,0.6536306738853455
199,0.5904532074928284
200,0.6354368925094604
