,per_loss
0,0.7778321
1,0.7219108
2,0.6834075
3,0.89225507
4,1.0043614
5,0.778432
6,0.7087091
7,0.71146894
8,0.5344768
9,0.7061525
10,0.6224792
11,0.59589994
12,0.6569002
13,0.7360652
14,0.60433805
15,0.69088686
16,0.66018426
17,0.7544726
18,0.7252925
19,0.5817063
20,0.6322876
21,0.61549866
22,0.6497047
23,0.60745436
24,0.57654357
25,0.5630305
26,0.7778862
27,0.701399
28,0.79724526
29,0.58217216
30,0.62346196
31,0.6521016
32,0.5843434
33,0.6198056
34,0.60354805
35,0.76246566
36,0.774619
37,0.60940385
38,0.7223576
39,0.74767816
40,0.69298
41,0.67897606
42,0.7448857
43,0.61363864
44,0.64921147
45,0.68591034
46,0.58793277
47,0.6587877
48,0.7013118
49,0.6569431
50,0.6695733
51,0.6699876
52,0.6191177
53,0.7005602
54,0.57952195
55,0.67956966
56,0.71744907
57,0.6836465
58,0.70865875
59,0.75035393
60,0.6885805
61,0.63691765
62,0.6658222
63,0.5992965
64,0.6957038
65,0.62565875
66,0.81841177
67,0.63539946
68,0.6847782
69,0.6884939
70,0.7536414
71,0.62386906
72,0.60205996
73,0.57338476
74,0.64486754
75,0.6186398
76,0.64553183
77,0.6857401
78,0.6035047
79,0.74973965
80,0.5545214
81,0.65126246
82,0.7451038
83,0.639972
84,0.6928027
85,0.71132994
86,0.80118966
87,0.67197955
88,0.63493055
89,0.533745
90,0.5996799
91,0.7648985
92,0.76878697
93,0.69898814
94,0.7358131
95,0.65039414
96,0.5581457
97,0.6444206
98,0.615314
99,0.51497567
