,sem_loss
0,0.000873
1,0.0007224
2,0.0006266
3,0.001053
4,0.001028
5,0.000743
6,0.0008245
7,0.000668
8,0.000623
9,0.0007987
10,0.000724
11,0.000597
12,0.0006537
13,0.0007043
14,0.0005207
15,0.000646
16,0.0004935
17,0.0005403
18,0.000548
19,0.0005283
20,0.000617
21,0.0004592
22,0.000755
23,0.000899
24,0.0005417
25,0.000612
26,0.000724
27,0.0006065
28,0.0003583
29,0.0004878
30,0.000598
31,0.0007725
32,0.000811
33,0.0005355
34,0.0005856
35,0.000729
36,0.000638
37,0.000387
38,0.0006614
39,0.0005894
40,0.000512
41,0.0005465
42,0.000743
43,0.000716
44,0.00054
45,0.000917
46,0.000504
47,0.000971
48,0.000717
49,0.000633
50,0.000767
51,0.0006084
52,0.0006876
53,0.0005283
54,0.000847
55,0.0006223
56,0.000627
57,0.0007167
58,0.000621
59,0.0006433
60,0.0006742
61,0.000478
62,0.00062
63,0.001111
64,0.000651
65,0.0008683
66,0.001193
67,0.001264
68,0.0007863
69,0.001088
70,0.001317
71,0.000651
72,0.0005684
73,0.0004542
74,0.000653
75,0.0004935
76,0.001183
77,0.0005784
78,0.000744
79,0.000856
80,0.000784
81,0.0006285
82,0.000587
83,0.0004032
84,0.0007243
85,0.0006804
86,0.0006046
87,0.0007057
88,0.0007353
89,0.0009665
90,0.000727
91,0.000999
92,0.001224
93,0.000879
94,0.00068
95,0.0008383
96,0.000626
97,0.000583
98,0.000818
99,0.0006576
