,per_loss
0,0.61454695
1,0.6453638
2,0.6389523
3,0.7671677
4,0.7027731
5,0.7508718
6,0.6896082
7,0.70538217
8,0.5773311
9,0.70333934
10,0.6316964
11,0.5837524
12,0.6277658
13,0.6740148
14,0.5373175
15,0.66698015
16,0.58486027
17,0.6996878
18,0.67374134
19,0.68981016
20,0.62572455
21,0.56611514
22,0.58647484
23,0.5700356
24,0.67461663
25,0.62887305
26,0.64105326
27,0.6350488
28,0.5629602
29,0.53678405
30,0.63658565
31,0.49787706
32,0.6362966
33,0.5174538
34,0.56163025
35,0.6893259
36,0.6978861
37,0.6400074
38,0.66135746
39,0.7188803
40,0.6166928
41,0.59008837
42,0.621243
43,0.5470448
44,0.63470286
45,0.6205611
46,0.6434836
47,0.6392066
48,0.6698354
49,0.57641053
50,0.6703522
51,0.60447127
52,0.63952136
53,0.5806898
54,0.5579781
55,0.607404
56,0.651718
57,0.6779102
58,0.6573473
59,0.67095554
60,0.65219533
61,0.66471076
62,0.6543908
63,0.63291395
64,0.6829177
65,0.6171871
66,0.7898164
67,0.65493053
68,0.6775086
69,0.6916134
70,0.7270922
71,0.6655739
72,0.63563854
73,0.57049483
74,0.66837287
75,0.64060324
76,0.6672449
77,0.6465957
78,0.6159694
79,0.61741334
80,0.5416767
81,0.6764796
82,0.74781954
83,0.5928737
84,0.6434387
85,0.6914333
86,0.7575698
87,0.63280016
88,0.65698886
89,0.5012784
90,0.58764696
91,0.8081821
92,0.82540303
93,0.61056435
94,0.68406403
95,0.67483294
96,0.5834746
97,0.5894142
98,0.7138877
99,0.49926502
