,sem_loss
426,0.0005164
427,0.0004401
428,0.0004811
429,0.0004218
430,0.0004692
431,0.0004833
432,0.0004432
433,0.000509
434,0.0004673
435,0.0004954
436,0.0005636
437,0.000557
438,0.0005355
439,0.0004692
440,0.0004466
441,0.000456
442,0.0004954
443,0.0004547
444,0.0005174
445,0.000522
446,0.00052
447,0.0004864
448,0.0005045
449,0.0005174
450,0.000597
451,0.000517
452,0.0005593
453,0.0004754
454,0.000466
455,0.0004983
456,0.000526
457,0.0005083
458,0.000487
459,0.000587
460,0.0004768
461,0.0004702
462,0.000492
463,0.0005646
464,0.0004964
465,0.00057
466,0.000622
467,0.000492
468,0.0004945
469,0.0004551
470,0.0005527
471,0.0004897
472,0.0006213
473,0.000434
474,0.0004652
475,0.000491
476,0.0005455
477,0.000502
478,0.000494
479,0.0004725
480,0.0005803
481,0.000617
482,0.000598
483,0.000517
484,0.000489
485,0.0005136
486,0.0005035
487,0.0004792
488,0.0004733
489,0.0006237
490,0.0004504
491,0.0004764
492,0.0005455
493,0.0004818
494,0.000554
495,0.0005574
496,0.00061
497,0.0004973
498,0.0004702
499,0.0005107
500,0.000503
501,0.0005608
502,0.0004659
503,0.000498
504,0.000499
505,0.0004997
506,0.0004632
507,0.000608
508,0.000566
509,0.000504
510,0.000553
511,0.0005946
512,0.0005426
513,0.0005245
514,0.000537
515,0.0005503
516,0.000514
517,0.000485
518,0.000489
519,0.000536
520,0.000528
521,0.0005765
522,0.0004523
523,0.0004659
524,0.0005207
525,0.000512
526,0.0004747
527,0.0004935
528,0.000538
529,0.000482
530,0.0005465
531,0.0004637
532,0.000492
533,0.000502
534,0.000569
535,0.0005684
536,0.000453
537,0.0006332
538,0.0005164
539,0.0005574
540,0.00054
541,0.0005646
542,0.0005846
543,0.0004857
544,0.000475
545,0.000512
546,0.0004697
547,0.000495
548,0.0005026
549,0.0004878
550,0.000565
551,0.0004818
552,0.0004997
553,0.0004814
554,0.0005174
555,0.000505
556,0.0005207
557,0.0005374
558,0.000532
559,0.000509
560,0.000543
561,0.0004697
562,0.0004253
563,0.0005603
564,0.0005116
565,0.0004551
566,0.000503
567,0.0004745
568,0.000594
569,0.000562
570,0.0004866
571,0.000592
572,0.000586
573,0.0005193
574,0.0005083
575,0.00053
576,0.000436
577,0.0004857
578,0.0005136
579,0.0006137
580,0.0004945
581,0.000509
582,0.0004926
583,0.0005183
584,0.0004542
585,0.0007095
586,0.000467
587,0.0005307
588,0.000531
589,0.0005355
590,0.0004854
591,0.0004838
592,0.0004685
593,0.0005193
594,0.000503
595,0.0004575
596,0.000595
597,0.0005126
598,0.0006022
599,0.0004842
600,0.0005736
601,0.000543
602,0.000494
603,0.0005417
604,0.0005445
605,0.000539
606,0.000489
607,0.0004854
608,0.000704
609,0.000628
610,0.0005784
611,0.000611
612,0.000609
613,0.000726
614,0.0005245
615,0.000641
616,0.000632
617,0.0006313
618,0.000613
619,0.0005765
620,0.000501
621,0.000606
622,0.0005717
623,0.0004888
624,0.0004873
625,0.0006623
626,0.0006986
627,0.0004597
628,0.0006375
629,0.0005913
630,0.000677
631,0.000596
632,0.000544
633,0.000409
634,0.0005026
635,0.0004764
636,0.0003352
637,0.0005717
638,0.000596
639,0.0006614
640,0.00084
641,0.0004697
642,0.000525
643,0.0004175
644,0.000603
645,0.0004516
646,0.0005307
647,0.0005426
648,0.0005736
649,0.0005827
650,0.0006156
651,0.0006094
652,0.000522
653,0.000639
654,0.0006175
655,0.0006843
656,0.0007315
657,0.000589
658,0.0006585
659,0.000769
660,0.0005016
661,0.000709
662,0.0005765
663,0.000623
664,0.0006385
665,0.0007334
666,0.0004945
667,0.0004618
668,0.000561
669,0.0005903
670,0.0004594
671,0.000639
672,0.0004833
673,0.000551
674,0.0003974
675,0.0005274
676,0.000625
677,0.000546
678,0.0005636
679,0.0006967
680,0.0004787
681,0.0004559
682,0.0005603
683,0.000462
684,0.0004997
685,0.000579
686,0.0005918
687,0.000657
688,0.0006123
689,0.0007615
690,0.000674
691,0.0004992
692,0.000651
693,0.0005484
694,0.0005865
695,0.000581
696,0.0005074
697,0.00065
698,0.000777
699,0.0005045
700,0.000647
701,0.000499
702,0.000772
703,0.000564
704,0.0005584
705,0.000593
706,0.000451
