row,combined
0,0.9766248
1,1.0668503
2,0.93684904
3,0.75504624
4,0.957014
5,0.7923909
6,0.9958709
7,1.0110862
8,1.08130554
9,0.79982736
10,0.8185941
11,0.865764
12,0.92527665
13,1.0891653
14,0.81892844
15,0.788205
16,0.8267008
17,0.945275
18,0.9207089
19,0.85466177
20,1.0580751
21,0.91151624
22,0.96470646
23,1.07562504
24,0.7949579
25,1.09785945
26,0.9820579
27,0.92425094
28,0.92321467
29,0.9037251
30,1.2770513
31,0.8968281
32,0.7822141
33,0.84586615
34,0.9409362
35,0.7384206
36,0.825875
37,1.01876956
38,1.0849153
39,1.2676042
40,0.785682
41,1.16384807
42,0.96266154
43,0.8460835
44,0.9952383
45,1.3640294
46,0.8573411
47,0.91970134
48,0.959341
49,0.9839495
50,0.77098477
51,0.83586614
52,1.02223427
53,1.06549145
54,1.0171238
55,1.1583594
56,0.8274423
57,0.8822135
58,0.8072215
59,0.7632928
60,0.8973122
61,0.8773328
62,0.8645709
63,0.77317134
64,0.90105046
65,1.274191
66,1.0143462
67,0.73378036
68,0.785067
69,0.8896742
70,0.83270497
71,1.33799063
72,1.0466598
73,1.05915516
74,0.7458534
75,0.7139971
76,0.7361056
77,0.76703213
78,1.0134646
79,1.04944207
80,0.7323042
81,0.780155
82,0.8243723
83,0.84384187
84,0.9086834
85,1.0813322
86,0.94577524
87,0.8579284
88,0.9642323
89,1.021442
90,0.9079103
91,0.6557114
92,1.1303155
93,0.93587383
94,0.9531481
95,0.9950288
96,0.92319284
97,0.9270908
98,1.1235241
99,0.8839508
100,0.8584602
101,1.0920558
102,1.1422644
103,0.8452964
104,0.86415634
105,1.16807613
106,0.83828165
107,0.6638077
108,1.21420645
109,0.89434425
110,0.9659752
111,0.8696065
112,0.9145704
113,0.9444552
114,0.9312086
115,1.06420313
116,0.81350524
117,1.0212299
118,1.00050964
119,0.7820946
120,0.71401847
121,1.04442846
122,1.1347274
123,0.9486358
124,1.0404341
125,0.8013104
126,0.85555494
127,1.01902814
128,0.9948619
129,0.8007799
130,0.7237083
131,0.86240556
132,0.81511225
133,0.68564046
134,0.75121025
135,1.05774956
136,0.6827421
137,0.73330295
138,0.88235855
139,1.21191134
140,0.62516345
141,0.7456239
142,1.0564832
143,1.04013195
144,0.905739
145,0.97328275
146,0.900209
147,0.93970076
148,0.9147246
149,0.74509196
150,0.75715334
151,0.8302395
152,0.95722735
153,0.9291476
154,1.0753913
155,0.77079095
156,0.6697582
157,0.87843593
158,0.78569284
159,0.85533075
160,0.7974467
161,0.96353405
162,0.8170614
163,0.7955895
164,0.9639533
165,0.8315986
166,0.7941184
167,1.1322201
168,1.10120023
169,0.86991567
170,0.86692525
171,1.0748894
172,0.974818
173,0.7126171
174,0.8458127
175,0.8007726
176,0.82173835
177,0.7869599
178,0.9472621
179,0.86207707
180,0.9606847
181,0.76784264
182,0.92092845
183,0.63485275
184,0.78111796
185,0.778795
186,0.89170345
187,0.818737
188,0.8616596
189,1.13775427
190,0.9732349
191,0.9188462
192,0.8662758
193,0.87497854
194,1.00211666
195,0.7979094
196,0.924373
197,0.89909243
198,1.1539501
199,0.7534438
