,per_loss
0,0.6286853
1,0.6666218
2,0.6118642
3,0.8530974
4,0.7582658
5,0.75115
6,0.64412135
7,0.6579927
8,0.59803164
9,0.63217473
10,0.6099898
11,0.41565728
12,0.57892954
13,0.73742235
14,0.5735636
15,0.6651943
16,0.5461167
17,0.63302034
18,0.5356945
19,0.54924387
20,0.57815826
21,0.49447963
22,0.54755366
23,0.56528085
24,0.54158676
25,0.5665251
26,0.77325517
27,0.6601506
28,0.50185305
29,0.51480883
30,0.61515975
31,0.5674471
32,0.61519504
33,0.53186375
34,0.5833157
35,0.6726634
36,0.7049214
37,0.5763788
38,0.7063205
39,0.6589078
40,0.5529942
41,0.6229686
42,0.58397967
43,0.6188568
44,0.6081753
45,0.6880441
46,0.58042943
47,0.60249364
48,0.6149539
49,0.57387465
50,0.62003326
51,0.5484074
52,0.6749883
53,0.5983324
54,0.5951315
55,0.584986
56,0.5875325
57,0.6627637
58,0.6630965
59,0.6667639
60,0.5691567
61,0.6200376
62,0.65805584
63,0.58453584
64,0.6498494
65,0.60516703
66,0.77219325
67,0.61207575
68,0.71019715
69,0.71365136
70,0.7546672
71,0.6518474
72,0.6269025
73,0.6031754
74,0.5721055
75,0.6445861
76,0.7848554
77,0.64473784
78,0.6611731
79,0.5999604
80,0.49407047
81,0.58497053
82,0.7010846
83,0.5811769
84,0.6971141
85,0.7063615
86,0.6447927
87,0.65010166
88,0.6331421
89,0.5215959
90,0.5860437
91,0.7344489
92,0.7637247
93,0.6576707
94,0.6727001
95,0.66909766
96,0.623994
97,0.64147204
98,0.6570389
99,0.502893
