Image Index,Semantic Loss
1,0.0006037
2,0.0003982
3,0.0004113
4,0.0006475
5,0.000455
6,0.000802
7,0.0005693
8,0.0005994
9,0.0006514
10,0.0005274
11,0.00055
12,0.0006824
13,0.000437
14,0.0005713
15,0.0003848
16,0.000605
17,0.0004752
18,0.000661
19,0.0006113
20,0.0006604
21,0.000736
22,0.0006037
23,0.000684
24,0.000736
25,0.0006456
26,0.000547
27,0.0008106
28,0.000631
29,0.0005455
30,0.00055
31,0.000726
32,0.0003319
33,0.0007405
34,0.0003393
35,0.0004587
36,0.0005426
37,0.000794
38,0.0006113
39,0.0006986
40,0.000567
41,0.000763
42,0.0004237
43,0.0006833
44,0.000375
45,0.0005765
46,0.00047
47,0.0008163
48,0.000575
49,0.000455
50,0.000776
51,0.0006213
52,0.0008593
53,0.000517
54,0.0006967
55,0.0005093
56,0.0006065
57,0.0003798
58,0.000701
59,0.001276
60,0.000495
61,0.000603
62,0.0008054
63,0.000561
64,0.000637
65,0.0005383
66,0.000521
67,0.0006514
68,0.0005627
69,0.000947
70,0.0005674
71,0.000645
72,0.0006638
73,0.0006614
74,0.000659
75,0.000617
76,0.0003915
77,0.0005035
78,0.00066
79,0.000419
80,0.000555
81,0.0004656
82,0.000687
83,0.000756
84,0.000484
85,0.0007906
86,0.0006666
87,0.0004146
88,0.0008025
89,0.000575
90,0.000512
91,0.000413
92,0.000553
93,0.0007753
94,0.0004838
95,0.0007386
96,0.0004468
97,0.000779
98,0.0007353
99,0.000666
100,0.000681
101,0.000539
102,0.0007286
103,0.000799
104,0.000734
105,0.0004354
106,0.0005193
107,0.0007005
108,0.000641
109,0.0006065
110,0.0005183
111,0.000618
112,0.000404
113,0.0007887
114,0.0003815
115,0.000886
116,0.000325
117,0.0006347
118,0.000707
119,0.000513
120,0.000872
121,0.000546
122,0.0007234
123,0.0007653
124,0.000621
125,0.0008183
126,0.0006866
127,0.000607
128,0.0006037
129,0.0005274
130,0.000772
131,0.000863
132,0.0006742
133,0.0007358
134,0.0003688
135,0.0007544
136,0.00059
137,0.00075
138,0.000712
139,0.0004675
140,0.0008707
141,0.000532
142,0.000567
143,0.000614
144,0.0004294
145,0.0009775
146,0.000541
147,0.000788
148,0.0004437
149,0.0004394
150,0.000748
151,0.0003874
152,0.000396
153,0.0006433
154,0.0008497
155,0.0004804
156,0.00108
157,0.0006676
158,0.0004299
159,0.000516
160,0.0003393
161,0.000606
162,0.0004253
163,0.0006394
164,0.000502
165,0.000709
166,0.000527
167,0.001013
168,0.000494
169,0.0007305
170,0.0004132
171,0.0003462
172,0.000676
173,0.0006657
174,0.000535
175,0.0007024
176,0.0003526
177,0.000823
178,0.000569
179,0.0004036
180,0.0004478
181,0.0006123
182,0.0007925
183,0.0006146
184,0.000451
185,0.000592
186,0.0006576
187,0.0005126
188,0.000628
189,0.000913
190,0.0005965
191,0.00072
192,0.000649
193,0.000356
194,0.0004835
195,0.000489
196,0.000801
197,0.000822
198,0.000513
199,0.0006356
200,0.0007396
