,sem_loss
0,0.00079
1,0.000717
2,0.000705
3,0.001156
4,0.000961
5,0.00085
6,0.0006113
7,0.0007634
8,0.00076
9,0.0008783
10,0.001283
11,0.000746
12,0.000816
13,0.0008907
14,0.000579
15,0.0006433
16,0.0007086
17,0.000808
18,0.0005674
19,0.000555
20,0.001057
21,0.000881
22,0.0007367
23,0.001053
24,0.0005774
25,0.0007668
26,0.001006
27,0.0006943
28,0.0007486
29,0.000712
30,0.000943
31,0.000716
32,0.000985
33,0.000552
34,0.000768
35,0.000737
36,0.0008545
37,0.000732
38,0.0008316
39,0.0005846
40,0.000683
41,0.000808
42,0.0008173
43,0.000808
44,0.0005627
45,0.001133
46,0.000746
47,0.0008826
48,0.0008383
49,0.000674
50,0.0008407
51,0.000655
52,0.0007453
53,0.000665
54,0.001
55,0.000765
56,0.0006986
57,0.000687
58,0.0009017
59,0.00087
60,0.0006385
61,0.00058
62,0.000839
63,0.001073
64,0.000852
65,0.0009246
66,0.0009418
67,0.00125
68,0.000875
69,0.00106
70,0.001303
71,0.0008054
72,0.0004618
73,0.000519
74,0.0008326
75,0.000506
76,0.001122
77,0.000672
78,0.000743
79,0.000988
80,0.0009103
81,0.0006742
82,0.000706
83,0.000605
84,0.0009375
85,0.0008264
86,0.001081
87,0.0006123
88,0.0009503
89,0.001013
90,0.000865
91,0.001049
92,0.001224
93,0.000861
94,0.00085
95,0.0009155
96,0.0006604
97,0.0006065
98,0.0011015
99,0.000828
