,1,2,3,4,5,6,7,8
10000,203.7529585,201.9107521,200.363671,203.0085136,202.3041852,202.4825313,199.0239684,200.8593643
10500,215.760464,214.3017206,215.2169113,215.4033104,212.979782,218.0366291,218.1041764,214.6483862
11000,196.9342201,200.9442721,200.8903136,201.3756108,200.2425851,201.2976422,199.5169459,196.4327838
11500,193.3908166,184.2967697,180.8638316,183.1384811,183.4320351,182.8223275,184.9703456,183.6322528
12000,206.5418485,204.1389391,199.3246481,203.749609,203.6835227,200.1558672,204.4580187,200.7180076
