,1,2,3,4,5,6,7,8
10000,107.3603947,105.4640497,103.9133472,104.9602356,104.7463719,104.2982689,105.5915151,104.7361851
10500,107.529177,104.5455552,102.8800412,104.0096611,104.5184442,103.8240653,104.984123,104.6003214
11000,103.2426638,101.3593298,99.20661613,100.2727009,100.5845835,99.73463631,100.8207415,99.34890601
11500,100.3369112,97.26312264,96.10590575,97.36663028,96.64793987,96.65008855,97.5859133,96.31183421
12000,98.22699547,97.37951873,96.09404602,96.8310368,96.57758437,96.01402014,97.26176782,95.92376929
