,1,2,3,4,5,6,7,8
10000,96.39256381,96.4467024,96.45032385,98.04827805,97.55781333,98.18426237,93.43245332,96.12317917
10500,108.231287,109.7561655,112.3368701,111.3936493,108.4613378,114.2125638,113.1200534,110.0480648
11000,93.69155626,99.58494224,101.6836974,101.1029098,99.65800162,101.5630059,98.69620443,97.08387783
11500,93.05390538,87.0336471,84.75792589,85.7718508,86.78409525,86.17223895,87.38443231,87.32041862
12000,108.314853,106.7594204,103.2306021,106.9185722,107.1059383,104.1418471,107.1962508,104.7942384
